cluster_id,rank,query,official_name,decision,conf,nli_entail_prob,sbert_score,bm25_score,ministry,recent_revision_date,evidence_article,cluster_keywords,cluster_rep_texts
0,1,"핵심 키워드: 피임, 상담해준대, 성건강상담, 카톡채널, 지원정책, 러브플랜에, 참았던, 이젠, 스트레스, 상담내용, 09, 성매개감염병, 궁금해, 남겨진, 산부인.",방송법,자동 확정,0.8648,0.7297,0.2644,0.0,방송법,20250826,,"피임, 상담해준대, 성건강상담, 카톡채널, 지원정책, 러브플랜에, 참았던, 이젠, 스트레스, 상담내용, 09, 성매개감염병, 궁금해, 남겨진, 산부인",
0,2,"핵심 키워드: 피임, 상담해준대, 성건강상담, 카톡채널, 지원정책, 러브플랜에, 참았던, 이젠, 스트레스, 상담내용, 09, 성매개감염병, 궁금해, 남겨진, 산부인.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,휴먼 검토,0.6042,0.4946,0.2413,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"피임, 상담해준대, 성건강상담, 카톡채널, 지원정책, 러브플랜에, 참았던, 이젠, 스트레스, 상담내용, 09, 성매개감염병, 궁금해, 남겨진, 산부인",
0,3,"핵심 키워드: 피임, 상담해준대, 성건강상담, 카톡채널, 지원정책, 러브플랜에, 참았던, 이젠, 스트레스, 상담내용, 09, 성매개감염병, 궁금해, 남겨진, 산부인.",우편법 시행규칙,보류,0.5264,0.295,0.2449,0.0,우편법 시행규칙,20250818,,"피임, 상담해준대, 성건강상담, 카톡채널, 지원정책, 러브플랜에, 참았던, 이젠, 스트레스, 상담내용, 09, 성매개감염병, 궁금해, 남겨진, 산부인",
2,1,"핵심 키워드: 아리엘음악치료센터아리의음악학원아리작곡, 성장하, 창의감성교육, 준수하고, 어라운드스토리, 다중지능, 발달재활서비스, 창의감성음악놀이터모두의음악친구어라운드스토리, 브레인앤뮤직, 디지털교육, 게시됩니다, 꿈꾸는대, 친구들, 믿음대, ai활용교육.",지방세특례제한법 시행령,휴먼 검토,0.749,0.498,0.332,0.0,지방세특례제한법 시행령,20250826,,"아리엘음악치료센터아리의음악학원아리작곡, 성장하, 창의감성교육, 준수하고, 어라운드스토리, 다중지능, 발달재활서비스, 창의감성음악놀이터모두의음악친구어라운드스토리, 브레인앤뮤직, 디지털교육, 게시됩니다, 꿈꾸는대, 친구들, 믿음대, ai활용교육",
2,2,"핵심 키워드: 아리엘음악치료센터아리의음악학원아리작곡, 성장하, 창의감성교육, 준수하고, 어라운드스토리, 다중지능, 발달재활서비스, 창의감성음악놀이터모두의음악친구어라운드스토리, 브레인앤뮤직, 디지털교육, 게시됩니다, 꿈꾸는대, 친구들, 믿음대, ai활용교육.",공무원연금법 시행령,보류,0.5162,0.4383,0.3147,0.0,공무원연금법 시행령,20250826,,"아리엘음악치료센터아리의음악학원아리작곡, 성장하, 창의감성교육, 준수하고, 어라운드스토리, 다중지능, 발달재활서비스, 창의감성음악놀이터모두의음악친구어라운드스토리, 브레인앤뮤직, 디지털교육, 게시됩니다, 꿈꾸는대, 친구들, 믿음대, ai활용교육",
2,3,"핵심 키워드: 아리엘음악치료센터아리의음악학원아리작곡, 성장하, 창의감성교육, 준수하고, 어라운드스토리, 다중지능, 발달재활서비스, 창의감성음악놀이터모두의음악친구어라운드스토리, 브레인앤뮤직, 디지털교육, 게시됩니다, 꿈꾸는대, 친구들, 믿음대, ai활용교육.",주택도시기금법 시행령,보류,0.3805,0.4577,0.3023,0.0,주택도시기금법 시행령,20250826,,"아리엘음악치료센터아리의음악학원아리작곡, 성장하, 창의감성교육, 준수하고, 어라운드스토리, 다중지능, 발달재활서비스, 창의감성음악놀이터모두의음악친구어라운드스토리, 브레인앤뮤직, 디지털교육, 게시됩니다, 꿈꾸는대, 친구들, 믿음대, ai활용교육",
3,1,"핵심 키워드: 게시됩니다, 가족합창단발달장애자폐스펙트럼지적장애, 자녀들, 아임소리아이캔아이엠위캔위아위러브창작음악극, 희귀난치성음악치료사composerconductor, 어렵지, 단원들, 그들, 아임소리, 20주차, 어라운드스토리, 준수하고, 전원, 2기, 구성된.",방송법,자동 확정,0.8092,0.6185,0.3956,0.0,방송법,20250826,,"게시됩니다, 가족합창단발달장애자폐스펙트럼지적장애, 자녀들, 아임소리아이캔아이엠위캔위아위러브창작음악극, 희귀난치성음악치료사composerconductor, 어렵지, 단원들, 그들, 아임소리, 20주차, 어라운드스토리, 준수하고, 전원, 2기, 구성된",
3,2,"핵심 키워드: 게시됩니다, 가족합창단발달장애자폐스펙트럼지적장애, 자녀들, 아임소리아이캔아이엠위캔위아위러브창작음악극, 희귀난치성음악치료사composerconductor, 어렵지, 단원들, 그들, 아임소리, 20주차, 어라운드스토리, 준수하고, 전원, 2기, 구성된.",공무원연금법 시행령,휴먼 검토,0.6398,0.432,0.3838,0.0,공무원연금법 시행령,20250826,,"게시됩니다, 가족합창단발달장애자폐스펙트럼지적장애, 자녀들, 아임소리아이캔아이엠위캔위아위러브창작음악극, 희귀난치성음악치료사composerconductor, 어렵지, 단원들, 그들, 아임소리, 20주차, 어라운드스토리, 준수하고, 전원, 2기, 구성된",
3,3,"핵심 키워드: 게시됩니다, 가족합창단발달장애자폐스펙트럼지적장애, 자녀들, 아임소리아이캔아이엠위캔위아위러브창작음악극, 희귀난치성음악치료사composerconductor, 어렵지, 단원들, 그들, 아임소리, 20주차, 어라운드스토리, 준수하고, 전원, 2기, 구성된.",방송통신위원회의 설치 및 운영에 관한 법률,보류,0.5037,0.4878,0.3585,0.0,방송통신위원회의 설치 및 운영에 관한 법률,20250826,,"게시됩니다, 가족합창단발달장애자폐스펙트럼지적장애, 자녀들, 아임소리아이캔아이엠위캔위아위러브창작음악극, 희귀난치성음악치료사composerconductor, 어렵지, 단원들, 그들, 아임소리, 20주차, 어라운드스토리, 준수하고, 전원, 2기, 구성된",
4,1,"핵심 키워드: 유출, 보안, 담당업무, 악성코드, skt, 가입, 복제, 공격, world, 차단, 2단계, 위약금, 관리해주, 보유한, 5가지.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,휴먼 검토,0.743,0.4861,0.4081,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"유출, 보안, 담당업무, 악성코드, skt, 가입, 복제, 공격, world, 차단, 2단계, 위약금, 관리해주, 보유한, 5가지",
4,2,"핵심 키워드: 유출, 보안, 담당업무, 악성코드, skt, 가입, 복제, 공격, world, 차단, 2단계, 위약금, 관리해주, 보유한, 5가지.",공공기관의 정보공개에 관한 법률 시행규칙,휴먼 검토,0.6772,0.3764,0.4065,4.7923,공공기관의 정보공개에 관한 법률 시행규칙,20250919,,"유출, 보안, 담당업무, 악성코드, skt, 가입, 복제, 공격, world, 차단, 2단계, 위약금, 관리해주, 보유한, 5가지",
4,3,"핵심 키워드: 유출, 보안, 담당업무, 악성코드, skt, 가입, 복제, 공격, world, 차단, 2단계, 위약금, 관리해주, 보유한, 5가지.",부패방지 및 국민권익위원회의 설치와 운영에 관한 법률의 시행에 관한 중앙선거관리위원회 규칙,휴먼 검토,0.6604,0.3964,0.4027,0.0,부패방지 및 국민권익위원회의 설치와 운영에 관한 법률의 시행에 관한 중앙선거관리위원회 규칙,20250821,,"유출, 보안, 담당업무, 악성코드, skt, 가입, 복제, 공격, world, 차단, 2단계, 위약금, 관리해주, 보유한, 5가지",
6,1,"핵심 키워드: 벌점, 모니터, 설치할, 영화, 근미래, 감시하고, 개인영상정보, 사카모토, 보여줄, 테크노, 안전, 도입한다, 음악에, 사업장, 류이치.",선거관리위원회 공무원 규칙,자동 확정,0.7513,0.5026,0.2597,0.0,선거관리위원회 공무원 규칙,20250821,,"벌점, 모니터, 설치할, 영화, 근미래, 감시하고, 개인영상정보, 사카모토, 보여줄, 테크노, 안전, 도입한다, 음악에, 사업장, 류이치",
6,2,"핵심 키워드: 벌점, 모니터, 설치할, 영화, 근미래, 감시하고, 개인영상정보, 사카모토, 보여줄, 테크노, 안전, 도입한다, 음악에, 사업장, 류이치.",지방세특례제한법 시행령,휴먼 검토,0.7258,0.508,0.2565,0.0,지방세특례제한법 시행령,20250826,,"벌점, 모니터, 설치할, 영화, 근미래, 감시하고, 개인영상정보, 사카모토, 보여줄, 테크노, 안전, 도입한다, 음악에, 사업장, 류이치",
6,3,"핵심 키워드: 벌점, 모니터, 설치할, 영화, 근미래, 감시하고, 개인영상정보, 사카모토, 보여줄, 테크노, 안전, 도입한다, 음악에, 사업장, 류이치.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,보류,0.4875,0.6333,0.2226,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"벌점, 모니터, 설치할, 영화, 근미래, 감시하고, 개인영상정보, 사카모토, 보여줄, 테크노, 안전, 도입한다, 음악에, 사업장, 류이치",
8,1,"핵심 키워드: 흥덕, 상담사, 어려울것, 원서, 도시라, 모의면접, 찻값, 금전, 청두에, 인민공원에, 군인, 도넛, 해줘, 찾아낸, 중독.",우편법 시행규칙,휴먼 검토,0.6789,0.3579,0.3067,0.0,우편법 시행규칙,20250818,,"흥덕, 상담사, 어려울것, 원서, 도시라, 모의면접, 찻값, 금전, 청두에, 인민공원에, 군인, 도넛, 해줘, 찾아낸, 중독",
8,2,"핵심 키워드: 흥덕, 상담사, 어려울것, 원서, 도시라, 모의면접, 찻값, 금전, 청두에, 인민공원에, 군인, 도넛, 해줘, 찾아낸, 중독.",통일부와 그 소속기관 직제 시행규칙,보류,0.4202,0.5163,0.2375,0.0,통일부와 그 소속기관 직제 시행규칙,20250821,,"흥덕, 상담사, 어려울것, 원서, 도시라, 모의면접, 찻값, 금전, 청두에, 인민공원에, 군인, 도넛, 해줘, 찾아낸, 중독",
8,3,"핵심 키워드: 흥덕, 상담사, 어려울것, 원서, 도시라, 모의면접, 찻값, 금전, 청두에, 인민공원에, 군인, 도넛, 해줘, 찾아낸, 중독.",온천법 시행령,보류,0.3968,0.1814,0.267,0.0,온천법 시행령,20250826,,"흥덕, 상담사, 어려울것, 원서, 도시라, 모의면접, 찻값, 금전, 청두에, 인민공원에, 군인, 도넛, 해줘, 찾아낸, 중독",
9,1,"핵심 키워드: 교육청에, 학폭, 수험생, 예방교육, 법정의무교육강사, 장애인인식개선교육, 에듀이너스, 교사, 직장내성희롱예방교육, 의무교육, 강사섭외, 완전정복, 4시간, 10명, 함께합니다.",헌법재판소 공무원 규칙,휴먼 검토,0.6658,0.3316,0.346,0.0,헌법재판소 공무원 규칙,20250821,,"교육청에, 학폭, 수험생, 예방교육, 법정의무교육강사, 장애인인식개선교육, 에듀이너스, 교사, 직장내성희롱예방교육, 의무교육, 강사섭외, 완전정복, 4시간, 10명, 함께합니다",
9,2,"핵심 키워드: 교육청에, 학폭, 수험생, 예방교육, 법정의무교육강사, 장애인인식개선교육, 에듀이너스, 교사, 직장내성희롱예방교육, 의무교육, 강사섭외, 완전정복, 4시간, 10명, 함께합니다.",공무원연금법 시행령,보류,0.5424,0.2813,0.3308,0.0,공무원연금법 시행령,20250826,,"교육청에, 학폭, 수험생, 예방교육, 법정의무교육강사, 장애인인식개선교육, 에듀이너스, 교사, 직장내성희롱예방교육, 의무교육, 강사섭외, 완전정복, 4시간, 10명, 함께합니다",
9,3,"핵심 키워드: 교육청에, 학폭, 수험생, 예방교육, 법정의무교육강사, 장애인인식개선교육, 에듀이너스, 교사, 직장내성희롱예방교육, 의무교육, 강사섭외, 완전정복, 4시간, 10명, 함께합니다.",방송법,보류,0.4253,0.3344,0.3087,0.0,방송법,20250826,,"교육청에, 학폭, 수험생, 예방교육, 법정의무교육강사, 장애인인식개선교육, 에듀이너스, 교사, 직장내성희롱예방교육, 의무교육, 강사섭외, 완전정복, 4시간, 10명, 함께합니다",
11,1,"핵심 키워드: 글귀, 신청방법, 원데이클래스, 7층, 청춘정거장, 실습, 강의장소, 198, 15, 신청에, 00, 강의대상, 만들기, 액자, 캘리그라피.",지방세특례제한법 시행령,휴먼 검토,0.7325,0.4651,0.4085,0.0,지방세특례제한법 시행령,20250826,,"글귀, 신청방법, 원데이클래스, 7층, 청춘정거장, 실습, 강의장소, 198, 15, 신청에, 00, 강의대상, 만들기, 액자, 캘리그라피",
11,2,"핵심 키워드: 글귀, 신청방법, 원데이클래스, 7층, 청춘정거장, 실습, 강의장소, 198, 15, 신청에, 00, 강의대상, 만들기, 액자, 캘리그라피.",국립묘지의 설치 및 운영에 관한 법률 시행규칙,보류,0.3662,0.3353,0.3274,4.448,국립묘지의 설치 및 운영에 관한 법률 시행규칙,20250825,,"글귀, 신청방법, 원데이클래스, 7층, 청춘정거장, 실습, 강의장소, 198, 15, 신청에, 00, 강의대상, 만들기, 액자, 캘리그라피",
11,3,"핵심 키워드: 글귀, 신청방법, 원데이클래스, 7층, 청춘정거장, 실습, 강의장소, 198, 15, 신청에, 00, 강의대상, 만들기, 액자, 캘리그라피.",대중문화예술산업발전법 시행규칙,보류,0.3522,0.4034,0.3145,4.2932,대중문화예술산업발전법 시행규칙,20250908,,"글귀, 신청방법, 원데이클래스, 7층, 청춘정거장, 실습, 강의장소, 198, 15, 신청에, 00, 강의대상, 만들기, 액자, 캘리그라피",
12,1,"핵심 키워드: 수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식.",지방세특례제한법 시행령,자동 확정,0.793,0.5859,0.4185,0.0,지방세특례제한법 시행령,20250826,,"수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식",
12,2,"핵심 키워드: 수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,보류,0.5146,0.6342,0.3337,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식",
12,3,"핵심 키워드: 수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식.",공무원연금법 시행령,보류,0.4241,0.5679,0.3176,0.0,공무원연금법 시행령,20250826,,"수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식",
13,1,"핵심 키워드: 방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에.",지방세특례제한법 시행령,휴먼 검토,0.6745,0.349,0.3649,0.0,지방세특례제한법 시행령,20250826,,"방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에",
13,2,"핵심 키워드: 방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에.",국립묘지의 설치 및 운영에 관한 법률 시행규칙,보류,0.4583,0.3023,0.342,0.0,국립묘지의 설치 및 운영에 관한 법률 시행규칙,20250825,,"방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에",
13,3,"핵심 키워드: 방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에.",환경보건법 시행령,보류,0.4159,0.1711,0.3448,0.0,환경보건법 시행령,20250826,,"방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에",
14,1,"핵심 키워드: 적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,자동 확정,0.8005,0.601,0.3223,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고",
14,2,"핵심 키워드: 적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고.",방송통신위원회의 설치 및 운영에 관한 법률,휴먼 검토,0.675,0.5595,0.3104,0.0,방송통신위원회의 설치 및 운영에 관한 법률,20250826,,"적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고",
